bookId,title,author,genre,year,price,available,publishDate,lastUpdated
B001,Harry Potter,J.K. Rowling,Fantasy,1997,15.99,true,1997-06-26,2024-01-15T10:00
B002,The Hobbit,J.R.R. Tolkien,Fantasy,1937,12.50,true,1937-09-21,2024-01-15T11:00
B003,1984,George Orwell,Fiction,1949,10.99,false,1949-06-08,2024-01-14T09:00
B004,The Catcher in the Rye,J.D. Salinger,Fiction,1951,9.99,true,1951-07-16,2024-01-15T12:00
B005,To Kill a Mockingbird,Harper Lee,Fiction,1960,14.50,true,1960-07-11,2024-01-16T14:00
B006,The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,11.99,false,1925-04-10,2024-01-13T16:00
B007,Pride and Prejudice,Jane Austen,Romance,1813,8.99,true,1813-01-28,2024-01-16T10:30
B008,The Da Vinci Code,Dan Brown,Mystery,2003,13.75,true,2003-03-18,2024-01-15T15:45
B009,Dune,Frank Herbert,Science Fiction,1965,16.25,true,1965-08-01,2024-01-16T11:20
B010,The Alchemist,Paulo Coelho,Fiction,1988,7.99,false,1988-01-01,2024-01-14T13:15
B011,Echoes of Tomorrow,Eleanor Vance,Science Fiction,2021,19.99,true,2021-03-14,2024-01-12T09:45
B012,Crimson Shadows,Arthur Black,Mystery,2018,14.25,true,2018-09-05,2024-01-14T16:20
B013,Whispers in the Dark,Maya Chen,Thriller,2019,13.50,false,2019-11-22,2024-01-11T11:30
B014,The Silent Witness,Thomas Reed,Crime,2015,12.99,true,2015-04-18,2024-01-15T14:10
B015,Beyond the Horizon,Rebecca Stone,Fiction,2020,16.75,true,2020-07-30,2024-01-16T13:25
B016,The Forgotten Kingdom,Samuel Grant,Fantasy,2017,18.50,true,2017-05-12,2024-01-13T10:15
B017,Threads of Fate,Isabella Rossi,Romance,2016,9.99,false,2016-02-14,2024-01-14T12:45
B018,Quantum Dawn,Leonard Kim,Science Fiction,2022,21.00,true,2022-10-10,2024-01-16T09:30
B019,The Glass House,Patricia Wells,Mystery,2014,11.25,true,2014-08-07,2024-01-12T15:40
B020,Autumn Leaves,William Carter,Fiction,2011,10.50,true,2011-09-21,2024-01-15T08:20
B021,Dragons of Eldoria,Robert Silver,Fantasy,2019,17.99,true,2019-06-15,2024-01-14T17:30
B022,The Midnight Call,Victoria Cross,Mystery,2020,13.75,false,2020-03-08,2024-01-11T14:25
B023,Celestial Bodies,Dr. Alan Shore,Science Fiction,2018,19.25,true,2018-11-30,2024-01-16T16:45
B024,Hearts Entwined,Sophia Martinez,Romance,2015,8.50,true,2015-01-29,2024-01-13T11:10
B025,The Last Ember,David Mitchell,Historical Fiction,2013,14.99,true,2013-07-04,2024-01-15T13:50
B026,Shadows of the Past,Amanda Grey,Thriller,2017,15.25,true,2017-10-31,2024-01-14T10:05
B027,The Infinite Loop,Professor Charles Qin,Science Fiction,2021,20.50,true,2021-12-01,2024-01-16T12:15
B028,The Sapphire Key,Elizabeth Thorn,Mystery,2016,12.99,false,2016-04-22,2024-01-12T13:35
B029,Winds of Change,Michael O'Connell,Fiction,2014,11.75,true,2014-05-17,2024-01-15T09:40
B030,Realms Beyond,Christopher Ward,Fantasy,2020,18.99,true,2020-08-25,2024-01-14T14:55
B031,The Hidden Truth,Sarah Jenkins,Crime,2019,13.25,true,2019-02-14,2024-01-16T08:10
B032,Starlight Serenade,Jennifer Lee,Romance,2018,9.25,true,2018-07-19,2024-01-13T15:20
B033,Neural Networks,Dr. Richard Moss,Science Fiction,2022,22.99,true,2022-04-12,2024-01-15T17:30
B034,The Crimson Letter,Henry James,Historical Fiction,2012,12.50,false,2012-10-05,2024-01-11T16:45
B035,Whispering Pines,Emma Richardson,Mystery,2015,14.99,true,2015-03-27,2024-01-14T11:25
B036,The Artisan's Touch,Oliver Grant,Fiction,2017,15.50,true,2017-12-03,2024-01-16T15:40
B037,Fire and Frost,Daniela Rossi,Fantasy,2021,19.75,true,2021-09-08,2024-01-13T09:55
B038,The Silent Echo,Benjamin Clark,Thriller,2016,16.25,false,2016-06-15,2024-01-12T12:30
B039,Galactic Frontiers,Dr. Susan Park,Science Fiction,2019,21.50,true,2019-04-18,2024-01-15T14:20
B040,Love's Journey,Rachel Adams,Romance,2014,8.99,true,2014-02-28,2024-01-14T13:15
B041,The Clockmaker's Secret,Jonathan Mills,Mystery,2013,13.25,true,2013-11-11,2024-01-16T10:45
B042,Paper Dreams,Thomas Wright,Fiction,2010,10.99,true,2010-08-09,2024-01-13T14:35
B043,Dawn of the Ancients,Katherine Bell,Fantasy,2018,17.25,true,2018-01-25,2024-01-15T11:50
B044,The Digital Ghost,Alex Chen,Science Fiction,2020,18.50,false,2020-05-06,2024-01-12T17:10
B045,Fatal Evidence,Laura Simmons,Crime,2017,14.75,true,2017-07-23,2024-01-14T15:25
B046,Everlasting Promise,Marcus Johnson,Romance,2015,9.50,true,2015-12-01,2024-01-16T13:30
B047,The Lost Expedition,Professor Alan Reed,Adventure,2016,16.99,true,2016-09-14,2024-01-13T10:40
B048,Shadows on the Wall,Victoria Black,Mystery,2014,12.25,true,2014-06-30,2024-01-15T16:15
B049,The Memory Keeper,Samantha Lee,Fiction,2019,15.00,false,2019-10-10,2024-01-11T15:50
B050,Crystal Kingdom,Robert Drake,Fantasy,2021,20.25,true,2021-02-28,2024-01-14T12:05
B051,The Quantum Thief,Dr. Lisa Wong,Science Fiction,2018,19.99,true,2018-03-15,2024-01-16T09:20
B052,Deadly Intentions,Frank Marino,Thriller,2015,13.99,true,2015-08-12,2024-01-13T16:45
B053,Hearts of Gold,Sophie Martin,Romance,2017,8.75,false,2017-04-05,2024-01-12T14:30
B054,The Iron Gate,Edward Stone,Historical Fiction,2013,14.25,true,2013-12-19,2024-01-15T10:55
B055,Whispers from Beyond,Amanda Cross,Mystery,2020,15.75,true,2020-11-26,2024-01-14T17:40
B056,The Programmer's Paradox,Dr. Kenji Tanaka,Science Fiction,2022,23.50,true,2022-07-07,2024-01-16T14:15
B057,The Glass Heart,Clara Bennett,Fiction,2016,11.50,true,2016-05-18,2024-01-13T12:25
B058,Realms of Fire,George Martin,Fantasy,2014,16.99,true,2014-10-03,2024-01-15T15:30
B059,The Perfect Crime,Richard Doyle,Crime,2018,14.50,false,2018-12-12,2024-01-11T17:20
B060,Autumn Romance,Isabelle Laurent,Romance,2019,9.99,true,2019-06-22,2024-01-14T09:45
B061,The Last Stand,Michael West,Adventure,2015,17.25,true,2015-02-14,2024-01-16T11:10
B062,Echoes in the Mist,Eleanor Shaw,Mystery,2017,13.25,true,2017-09-09,2024-01-13T15:50
B063,Neptune's Daughter,Sarah Ocean,Fantasy,2020,18.75,true,2020-04-17,2024-01-15T12:40
B064,The Silicon Dream,Professor Mark Liu,Science Fiction,2021,21.99,true,2021-08-29,2024-01-14T14:05
B065,Broken Vows,Anthony Grey,Fiction,2012,10.25,false,2012-03-23,2024-01-12T11:35
B066,The Secret Admirer,Julia Rose,Romance,2016,8.50,true,2016-07-07,2024-01-16T16:20
B067,Dark Waters,Benjamin Rivers,Thriller,2019,16.50,true,2019-01-15,2024-01-13T09:30
B068,The Forgotten City,Alexander Vance,Historical Fiction,2014,15.25,true,2014-11-08,2024-01-15T13:15
B069,Starlight Chronicles,Dr. Emily White,Science Fiction,2018,20.75,true,2018-05-26,2024-01-14T10:50
B070,The Vanishing Act,Patricia Cole,Mystery,2015,12.99,true,2015-09-30,2024-01-16T12:35
B071,Paper Hearts,Robert James,Fiction,2011,9.75,true,2011-06-14,2024-01-13T14:20
B072,Dragon's Breath,Karen Stone,Fantasy,2017,17.50,false,2017-03-03,2024-01-11T13:45
B073,The Final Equation,Dr. Alan Turing,Science Fiction,2019,22.25,true,2019-12-25,2024-01-15T17:05
B074,Deadly Secrets,Laura Parker,Crime,2016,14.00,true,2016-08-20,2024-01-14T15:10
B075,Summer Breeze,Megan Taylor,Romance,2018,9.25,true,2018-02-14,2024-01-16T08:40
B076,The Lost Temple,Professor Henry Jones,Adventure,2013,16.50,true,2013-05-05,2024-01-13T11:55
B077,The Silent Partner,Victoria Reed,Mystery,2014,13.75,false,2014-07-17,2024-01-12T16:30
B078,The Weaver's Tale,Samuel Loomis,Fiction,2015,12.25,true,2015-04-08,2024-01-15T14:45
B079,Moonlight Kingdom,Jennifer Star,Fantasy,2020,19.50,true,2020-10-31,2024-01-14T12:20
B080,The Android's Dream,Dr. Sarah Connor,Science Fiction,2021,24.99,true,2021-06-12,2024-01-16T13:55
B081,Fatal Mistake,Franklin Burke,Thriller,2017,15.99,true,2017-11-11,2024-01-13T17:00
B082,Winter's Promise,Christine Snow,Romance,2016,8.99,true,2016-12-01,2024-01-15T10:25
B083,The Ancient Map,Thomas Cartographer,Adventure,2012,15.75,false,2012-09-19,2024-01-11T14:40
B084,The Glass Eye,Amanda Glass,Mystery,2019,14.50,true,2019-08-08,2024-01-14T16:15
B085,City of Dreams,David Metropolis,Fiction,2018,13.25,true,2018-06-24,2024-01-16T11:50
B086,Fire Drake Chronicles,Robert Ember,Fantasy,2015,16.99,true,2015-01-17,2024-01-13T10:05
B087,The Memory Chip,Dr. Ken Sato,Science Fiction,2022,25.50,true,2022-03-03,2024-01-15T15:20
B088,Blood Evidence,Linda Forensics,Crime,2014,13.99,true,2014-12-05,2024-01-14T13:30
B089,Second Chance Love,Anna Hope,Romance,2017,9.50,false,2017-05-20,2024-01-12T12:55
B090,The Sunken Ship,Captain John Mariner,Adventure,2013,17.25,true,2013-08-14,2024-01-16T14:40
B091,The Locked Room,Edgar Myst,Mystery,2016,12.75,true,2016-03-29,2024-01-13T15:15
B092,Rivers of Time,Victoria Stream,Fiction,2011,11.25,true,2011-10-10,2024-01-15T12:10
B093,Elven Woods,Legolas Green,Fantasy,2019,18.25,true,2019-07-07,2024-01-14T09:35
B094,The Singularity,Dr. Ray Kurzweil,Science Fiction,2020,26.99,true,2020-09-09,2024-01-16T17:25
B095,The Perfect Alibi,Richard Law,Crime,2015,15.25,true,2015-06-18,2024-01-13T14:45
B096,Love in Paris,Claire French,Romance,2018,10.50,true,2018-04-13,2024-01-15T16:50
B097,The Hidden Treasure,Jack Adventure,Adventure,2014,16.75,false,2014-02-27,2024-01-11T15:35
